00000261	04032023	095455
00000588	04032023	095309
00000588	04032023	095321
00000588	04032023	095312
00000261	04032023	094629
00000261	04032023	094626
00000315	04032023	094548
00000273	04032023	093601
00000370	04032023	090317
00000122	04032023	080920
00000131	04032023	080913
00000248	04032023	080910
00000168	04032023	080848
00000225	04032023	080844
00000220	04032023	080841
00000642	04032023	080837
00000232	04032023	080816
00000184	04032023	080811
00000635	04032023	080708
00000586	04032023	080707
00000468	04032023	080746
00000476	04032023	080743
00000476	04032023	080740
00000476	04032023	080737
00000476	04032023	080734
00000478	04032023	080731
00000576	04032023	080726
00000586	04032023	080713
00000635	04032023	080712
00000228	04032023	080658
00000467	04032023	080646
00000179	04032023	080637
00000516	04032023	080629
00000160	04032023	080627
00000492	04032023	080600
00000305	04032023	085606
00000444	04032023	085359
00000492	04032023	080557
00000494	04032023	080552
00000368	04032023	080550
00000276	04032023	080546
00000407	04032023	080523
00000545	04032023	080521
00000540	04032023	084407
00000231	04032023	084125
00000532	04032023	080437
00000532	04032023	080434
00000639	04032023	080432
00000589	04032023	083944
00000589	04032023	083941
00000596	04032023	083938
00000596	04032023	083935
00000296	04032023	083547
00000348	04032023	083541
00000620	04032023	080308
00000595	04032023	080307
00000595	04032023	080306
00000306	04032023	080350
00000449	04032023	080347
00000186	04032023	080336
00000186	04032023	080334
00000632	04032023	080330
00000206	04032023	080324
00000410	04032023	080320
00000401	04032023	080314
00000318	04032023	080310
00000367	04032023	080301
00000284	04032023	082814
00000128	04032023	082652
00000408	04032023	082305
00000577	04032023	082214
00000346	04032023	082114
00000454	04032023	082035
00000178	04032023	082017
00000267	04032023	082015
00000149	04032023	080208
00000459	04032023	080206
00000572	04032023	080258
00000572	04032023	080258
00000636	04032023	080256
00000570	04032023	080253
00000553	04032023	080248
00000304	04032023	080234
00000609	04032023	081917
00000627	04032023	081742
00000627	04032023	081740
00000239	04032023	081600
00000265	04032023	081557
00000607	04032023	081414
00000558	04032023	081411
00000422	04032023	081233
00000637	04032023	081218
00000446	04032023	081109
00000580	04032023	081052
00000412	04032023	081040
00000628	04032023	081037
00000311	04032023	081030
00000254	04032023	081028
00000176	04032023	081016
00000176	04032023	081016
00000181	04032023	081011
00000594	04032023	080108
00000363	04032023	080104
00000560	04032023	080139
00000257	04032023	080116
00000257	04032023	080113
00000497	04032023	080008
00000393	04032023	080051
00000608	04032023	080005
00000511	04032023	080044
00000669	04032023	080035
00000400	04032023	080034
00000317	04032023	080031
00000411	04032023	080027
00000411	04032023	080025
00000578	04032023	080021
00000500	04032023	080002
00000399	04032023	080019
00000399	04032023	080019
00000382	04032023	080015
00000382	04032023	080013
00000205	04032023	075907
00000556	04032023	075959
00000564	04032023	075957
00000498	04032023	075954
00000531	04032023	075905
00000475	04032023	075945
00000475	04032023	075945
00000431	04032023	075941
00000290	04032023	075939
00000395	04032023	075935
00000557	04032023	075933
00000562	04032023	075930
00000562	04032023	075927
00000229	04032023	075925
00000531	04032023	075902
00000158	04032023	075917
00000391	04032023	075915
00000464	04032023	075913
00000522	04032023	075911
00000533	04032023	075808
00000350	04032023	075856
00000661	04032023	075854
00000566	04032023	075852
00000661	04032023	075850
00000403	04032023	075848
00000633	04032023	075848
00000546	04032023	075845
00000378	04032023	075844
00000633	04032023	075843
00000433	04032023	075836
00000409	04032023	075834
00000380	04032023	075830
00000521	04032023	075827
00000361	04032023	075812
00000533	04032023	075811
00000392	04032023	075800
00000541	04032023	075758
00000458	04032023	075755
00000506	04032023	075753
00000601	04032023	075749
00000486	04032023	075747
00000471	04032023	075744
00000398	04032023	075742
00000530	04032023	075704
00000113	04032023	075737
00000113	04032023	075734
00000394	04032023	075718
00000514	04032023	075713
00000487	04032023	075700
00000432	04032023	075657
00000590	04032023	075641
00000574	04032023	075509
00000279	04032023	075557
00000243	04032023	075548
00000390	04032023	075546
00000496	04032023	075540
00000571	04032023	075504
00000275	04032023	075534
00000656	04032023	075518
00000436	04032023	075513
